project,turn_index,phase,role,interlocutor,timestamp,py_files,code_lines,structural_smells,code_smells,architectural_smells,total_smells,tokens_prompt,tokens_completion,tokens_reasoning,tokens_total,cost_usd
Checkers_DefaultOrganization_20250911143857,8,EnvironmentDoc,Programmer,Chief Technology Officer,2025-11-09 15:10:05,7,0,17,4,8,29,7247,853,832,8100,0.017589
Checkers_DefaultOrganization_20250911143857,9,Reflection,Chief Executive Officer,Counselor,2025-11-09 15:10:19,7,654,17,4,8,29,7544,661,640,8205,0.01604
Chess_DefaultOrganization_20250908153724,0,Coding,Programmer,Chief Technology Officer,2025-08-09 15:43:16,2,729,4,3,3,10,719,15524,5760,16243,0.156139
Chess_DefaultOrganization_20250908153724,1,CodeReviewModification,Programmer,Code Reviewer,2025-08-09 15:50:30,2,764,4,5,3,12,9224,12644,3200,21868,0.13797
Chess_DefaultOrganization_20250908153724,2,CodeReviewModification,Programmer,Code Reviewer,2025-08-09 15:55:28,2,764,4,3,3,10,9823,11153,1984,20976,0.123809
Chess_DefaultOrganization_20250908153724,3,CodeReviewModification,Programmer,Code Reviewer,2025-08-09 16:01:25,2,772,4,3,3,10,9874,12062,2816,21936,0.132963
Chess_DefaultOrganization_20250908153724,4,TestModification,Programmer,Software Test Engineer,2025-08-09 16:05:11,4,684,14,8,5,27,9150,10506,3392,19656,0.116498
Chess_DefaultOrganization_20250908153724,5,EnvironmentDoc,Programmer,Chief Technology Officer,2025-08-09 16:05:42,4,0,14,8,5,27,8255,805,768,9060,0.018369
Chess_DefaultOrganization_20250908153724,6,Reflection,Chief Executive Officer,Counselor,2025-08-09 16:06:05,4,684,14,8,5,27,8603,945,896,9548,0.020204
ConnectFour_DefaultOrganization_20250915215741,0,Coding,Programmer,Chief Technology Officer,2025-15-09 21:59:43,3,339,4,2,1,7,695,6629,3008,7324,0.067159
ConnectFour_DefaultOrganization_20250915215741,1,CodeReviewModification,Programmer,Code Reviewer,2025-15-09 22:01:44,3,357,5,2,1,8,4158,4652,1216,8810,0.051718
ConnectFour_DefaultOrganization_20250915215741,2,CodeReviewModification,Programmer,Code Reviewer,2025-15-09 22:04:23,3,362,5,2,1,8,4264,5137,1664,9401,0.0567
ConnectFour_DefaultOrganization_20250915215741,3,CodeReviewModification,Programmer,Code Reviewer,2025-15-09 22:07:00,3,362,5,2,1,8,4014,4560,1088,8574,0.050618
ConnectFour_DefaultOrganization_20250915215741,4,Reflection,Chief Executive Officer,Counselor,2025-15-09 22:07:50,3,362,5,2,1,8,4298,702,640,5000,0.012393
ConnectionsNYT_DefaultOrganization_20250915165955,0,Coding,Programmer,Chief Technology Officer,2025-15-09 17:04:14,4,480,7,4,4,15,771,11494,5376,12265,0.115904
ConnectionsNYT_DefaultOrganization_20250915165955,1,CodeReviewModification,Programmer,Code Reviewer,2025-15-09 17:08:04,5,200,0,12,4,16,6710,8727,3968,15437,0.095658
ConnectionsNYT_DefaultOrganization_20250915165955,2,CodeReviewComment,Code Reviewer,Programmer,2025-15-09 17:10:03,5,0,0,10,4,14,3206,5002,2944,8208,0.054028
ConnectionsNYT_DefaultOrganization_20250915165955,3,CodeReviewModification,Programmer,Code Reviewer,2025-15-09 17:12:43,5,399,0,10,4,14,5273,7816,3264,13089,0.084751
ConnectionsNYT_DefaultOrganization_20250915165955,4,CodeReviewModification,Programmer,Code Reviewer,2025-15-09 17:16:06,5,399,0,17,5,22,5476,6052,1600,11528,0.067365
ConnectionsNYT_DefaultOrganization_20250915165955,5,TestModification,Programmer,Software Test Engineer,2025-15-09 17:17:39,5,478,0,10,5,15,5026,4768,1984,9794,0.053962
ConnectionsNYT_DefaultOrganization_20250915165955,6,Reflection,Chief Executive Officer,Counselor,2025-15-09 17:18:08,5,478,0,10,5,15,6213,984,960,7197,0.017606
DetectPalindromes_DefaultOrganization_20250911160644,0,Coding,Programmer,Chief Technology Officer,2025-11-09 16:08:52,5,295,5,2,3,10,566,8685,3456,9251,0.087558
DetectPalindromes_DefaultOrganization_20250911160644,1,CodeReviewComment,Code Reviewer,Programmer,2025-11-09 16:10:41,5,0,4,3,2,9,3529,4901,3520,8430,0.053421
DetectPalindromes_DefaultOrganization_20250911160644,2,CodeReviewModification,Programmer,Code Reviewer,2025-11-09 16:12:42,5,425,4,3,2,9,4920,5830,1536,10750,0.06445
DetectPalindromes_DefaultOrganization_20250911160644,3,CodeReviewModification,Programmer,Code Reviewer,2025-11-09 16:16:03,5,436,4,3,3,10,5014,5452,1088,10466,0.060788
DetectPalindromes_DefaultOrganization_20250911160644,4,CodeReviewModification,Programmer,Code Reviewer,2025-11-09 16:21:21,5,486,4,5,4,13,5159,7613,2752,12772,0.082579
DetectPalindromes_DefaultOrganization_20250911160644,5,EnvironmentDoc,Programmer,Chief Technology Officer,2025-11-09 16:21:38,5,0,4,5,4,13,5204,960,896,6164,0.016105
DetectPalindromes_DefaultOrganization_20250911160644,6,Reflection,Chief Executive Officer,Counselor,2025-11-09 16:21:54,5,486,4,5,4,13,5503,820,768,6323,0.015079
DouDizhuPoker_DefaultOrganization_20250915221401,0,Coding,Programmer,Chief Technology Officer,2025-15-09 22:19:22,6,1139,33,17,4,54,715,18181,5248,18896,0.182704
DouDizhuPoker_DefaultOrganization_20250915221401,1,CodeReviewModification,Programmer,Code Reviewer,2025-15-09 22:26:15,6,1172,34,16,4,54,13349,15942,3072,29291,0.176106
DouDizhuPoker_DefaultOrganization_20250915221401,2,CodeReviewModification,Programmer,Code Reviewer,2025-15-09 22:32:23,6,1169,34,16,4,54,13782,14801,1920,28583,0.165238
DouDizhuPoker_DefaultOrganization_20250915221401,3,CodeReviewModification,Programmer,Code Reviewer,2025-15-09 22:39:55,6,1173,34,16,4,54,13892,14477,1536,28369,0.162135
DouDizhuPoker_DefaultOrganization_20250915221401,4,EnvironmentDoc,Programmer,Chief Technology Officer,2025-15-09 22:40:18,6,0,34,16,4,54,13431,821,768,14252,0.024999
DouDizhuPoker_DefaultOrganization_20250915221401,5,Reflection,Chief Executive Officer,Counselor,2025-15-09 22:40:34,6,1173,34,16,4,54,13793,624,576,14417,0.023481
EpisodeChooseYourStory_DefaultOrganization_20250923172502,0,Coding,Programmer,Chief Technology Officer,2025-23-09 17:27:17,5,760,7,12,5,24,651,10439,3328,11090,0.105204
EpisodeChooseYourStory_DefaultOrganization_20250923172502,1,CodeComplete,Programmer,Chief Technology Officer,2025-23-09 17:30:32,5,760,7,12,5,24,7026,7375,832,14401,0.082532
EpisodeChooseYourStory_DefaultOrganization_20250923172502,2,CodeComplete,Programmer,Chief Technology Officer,2025-23-09 17:31:11,5,760,7,12,5,24,7026,7377,832,14403,0.082553
EpisodeChooseYourStory_DefaultOrganization_20250923172502,3,CodeComplete,Programmer,Chief Technology Officer,2025-23-09 17:32:02,5,760,7,12,5,24,7022,7953,1408,14975,0.088308
EpisodeChooseYourStory_DefaultOrganization_20250923172502,4,CodeReviewModification,Programmer,Code Reviewer,2025-23-09 17:34:56,5,766,7,13,5,25,7249,7718,1088,14967,0.086241
EpisodeChooseYourStory_DefaultOrganization_20250923172502,5,CodeReviewModification,Programmer,Code Reviewer,2025-23-09 17:37:52,5,766,7,13,5,25,7365,7397,768,14762,0.083176
EpisodeChooseYourStory_DefaultOrganization_20250923172502,6,CodeReviewModification,Programmer,Code Reviewer,2025-23-09 17:40:26,5,778,7,13,5,25,7475,7446,704,14921,0.083804
FibonacciNumbers_DefaultOrganization_20250908121632,0,Coding,Programmer,Chief Technology Officer,2025-08-09 12:17:43,3,245,2,1,2,5,564,4737,2048,5301,0.048075
FibonacciNumbers_DefaultOrganization_20250908121632,1,CodeComplete,Programmer,Chief Technology Officer,2025-08-09 12:19:01,3,245,2,1,2,5,2847,3603,1152,6450,0.039589
FibonacciNumbers_DefaultOrganization_20250908121632,2,CodeComplete,Programmer,Chief Technology Officer,2025-08-09 12:20:19,3,245,2,1,2,5,5503,3219,768,8722,0.039069
FibonacciNumbers_DefaultOrganization_20250908121632,3,CodeComplete,Programmer,Chief Technology Officer,2025-08-09 12:21:25,3,245,2,1,2,5,2843,3411,960,6254,0.037664
FibonacciNumbers_DefaultOrganization_20250908121632,4,CodeReviewModification,Programmer,Code Reviewer,2025-08-09 12:23:34,3,246,2,1,2,5,3036,3481,1024,6517,0.038605
FibonacciNumbers_DefaultOrganization_20250908121632,5,CodeReviewModification,Programmer,Code Reviewer,2025-08-09 12:25:46,3,251,2,1,2,5,3031,3471,960,6502,0.038499
FibonacciNumbers_DefaultOrganization_20250908121632,6,CodeReviewModification,Programmer,Code Reviewer,2025-08-09 12:27:57,3,251,2,1,2,5,2922,3727,1216,6649,0.040923
FibonacciNumbers_DefaultOrganization_20250908121632,7,EnvironmentDoc,Programmer,Chief Technology Officer,2025-08-09 12:28:19,3,0,2,1,2,5,2852,953,896,3805,0.013095
FibonacciNumbers_DefaultOrganization_20250908121632,8,Reflection,Chief Executive Officer,Counselor,2025-08-09 12:28:45,3,251,2,1,2,5,3143,1081,1024,4224,0.014739
FlappyBird_DefaultOrganization_20250910134406,0,Coding,Programmer,Chief Technology Officer,2025-10-09 13:47:56,4,408,4,4,5,13,677,6786,2496,7463,0.068706
FlappyBird_DefaultOrganization_20250910134406,1,CodeComplete,Programmer,Chief Technology Officer,2025-10-09 13:50:19,4,409,4,4,6,14,4396,4919,1024,9315,0.054685
FlappyBird_DefaultOrganization_20250910134406,2,CodeComplete,Programmer,Chief Technology Officer,2025-10-09 13:52:17,4,409,4,4,6,14,4403,4983,1088,9386,0.055334
FlappyBird_DefaultOrganization_20250910134406,3,CodeComplete,Programmer,Chief Technology Officer,2025-10-09 13:54:06,4,409,4,4,6,14,4399,4791,896,9190,0.053409
FlappyBird_DefaultOrganization_20250910134406,4,CodeReviewModification,Programmer,Code Reviewer,2025-10-09 13:57:55,4,409,4,4,6,14,4418,5175,1280,9593,0.057272
FlappyBird_DefaultOrganization_20250910134406,5,CodeReviewModification,Programmer,Code Reviewer,2025-10-09 14:01:20,4,417,5,4,6,15,4761,5246,1280,10007,0.058411
FlappyBird_DefaultOrganization_20250910134406,6,CodeReviewModification,Programmer,Code Reviewer,2025-10-09 14:05:28,4,419,6,4,6,16,4767,5585,1600,10352,0.061809
FlappyBird_DefaultOrganization_20250910134406,7,TestModification,Programmer,Software Test Engineer,2025-10-09 14:08:06,4,454,6,4,5,15,4531,7614,3456,12145,0.081804
GoldMiner_DefaultOrganization_20250923182344,0,Coding,Programmer,Chief Technology Officer,2025-23-09 18:26:14,3,424,8,2,4,14,697,9679,4544,10376,0.097661
GoldMiner_DefaultOrganization_20250923182344,1,CodeReviewModification,Programmer,Code Reviewer,2025-23-09 18:29:16,3,426,8,2,4,14,5734,7011,1920,12745,0.077277
GoldMiner_DefaultOrganization_20250923182344,2,CodeReviewModification,Programmer,Code Reviewer,2025-23-09 18:32:03,3,432,8,2,4,14,5823,7476,2304,13299,0.082039
GoldMiner_DefaultOrganization_20250923182344,3,CodeReviewModification,Programmer,Code Reviewer,2025-23-09 18:36:23,3,486,11,2,4,17,6192,9147,3520,15339,0.09921
GoldMiner_DefaultOrganization_20250923182344,4,TestModification,Programmer,Software Test Engineer,2025-23-09 18:37:44,3,505,11,2,4,17,6167,4768,2048,10935,0.055389
GoldMiner_DefaultOrganization_20250923182344,5,EnvironmentDoc,Programmer,Chief Technology Officer,2025-23-09 18:38:04,3,0,11,2,4,17,6298,681,640,6979,0.014683
GoldMiner_DefaultOrganization_20250923182344,6,Reflection,Chief Executive Officer,Counselor,2025-23-09 18:38:19,3,505,11,2,4,17,6639,621,576,7260,0.014509
Gomoku_DefaultOrganization_20250908223552,0,Coding,Programmer,Chief Technology Officer,2025-08-09 22:37:46,1,468,0,0,0,0,635,8269,3072,8904,0.083484
Gomoku_DefaultOrganization_20250908223552,1,CodeReviewModification,Programmer,Code Reviewer,2025-08-09 22:41:47,1,468,0,0,0,0,5067,7729,3136,12796,0.083624
Gomoku_DefaultOrganization_20250908223552,2,CodeReviewModification,Programmer,Code Reviewer,2025-08-09 22:44:54,1,468,0,0,0,0,5230,6321,1728,11551,0.069748
Gomoku_DefaultOrganization_20250908223552,3,CodeReviewModification,Programmer,Code Reviewer,2025-08-09 22:49:04,1,468,0,0,0,0,5282,6001,1408,11283,0.066613
Gomoku_DefaultOrganization_20250908223552,4,TestModification,Programmer,Software Test Engineer,2025-08-09 22:50:10,2,478,2,0,2,4,5096,3337,2112,8433,0.03974
Gomoku_DefaultOrganization_20250908223552,5,EnvironmentDoc,Programmer,Chief Technology Officer,2025-08-09 22:50:29,2,0,2,0,2,4,5070,700,640,5770,0.013338
Mastermind_DefaultOrganization_20250924001636,0,Coding,Programmer,Chief Technology Officer,2025-24-09 00:19:38,3,142,4,3,1,8,675,7931,2944,8606,0.080154
Mastermind_DefaultOrganization_20250924001636,1,CodeReviewModification,Programmer,Code Reviewer,2025-24-09 00:21:51,3,294,3,1,1,5,3505,4242,1344,7747,0.046801
Mastermind_DefaultOrganization_20250924001636,2,CodeReviewModification,Programmer,Code Reviewer,2025-24-09 00:24:04,3,300,3,1,1,5,3625,4180,1216,7805,0.046331
Mastermind_DefaultOrganization_20250924001636,3,CodeReviewModification,Programmer,Code Reviewer,2025-24-09 00:25:52,3,409,6,1,1,8,3486,7447,3264,10933,0.078827
Mastermind_DefaultOrganization_20250924001636,4,EnvironmentDoc,Programmer,Chief Technology Officer,2025-24-09 00:26:13,3,0,6,1,1,8,4634,883,768,5517,0.014623
Mastermind_DefaultOrganization_20250924001636,5,Reflection,Chief Executive Officer,Counselor,2025-24-09 00:26:35,3,409,6,1,1,8,5038,1011,896,6049,0.016407
Minesweeper_DefaultOrganization_20250913230501,0,Coding,Programmer,Chief Technology Officer,2025-13-09 23:07:33,3,418,13,5,1,19,699,6407,2048,7106,0.064944
Minesweeper_DefaultOrganization_20250913230501,1,CodeReviewModification,Programmer,Code Reviewer,2025-13-09 23:10:13,3,415,13,5,1,19,5166,5951,1792,11117,0.065967
Minesweeper_DefaultOrganization_20250913230501,2,CodeReviewModification,Programmer,Code Reviewer,2025-13-09 23:12:52,3,422,13,5,1,19,5029,4962,704,9991,0.055906
Minesweeper_DefaultOrganization_20250913230501,3,CodeReviewModification,Programmer,Code Reviewer,2025-13-09 23:17:42,3,429,13,5,1,19,5227,6157,1792,11384,0.068104
Minesweeper_DefaultOrganization_20250913230501,4,EnvironmentDoc,Programmer,Chief Technology Officer,2025-13-09 23:18:00,3,0,13,5,1,19,4841,769,704,5610,0.013741
Minesweeper_DefaultOrganization_20250913230501,5,Reflection,Chief Executive Officer,Counselor,2025-13-09 23:18:23,3,429,13,5,1,19,5207,1217,1152,6424,0.018679
MonopolyGo_DefaultOrganization_20250918164257,0,Coding,Programmer,Chief Technology Officer,2025-18-09 16:48:33,4,738,11,7,2,20,665,12567,4288,13232,0.126501
MonopolyGo_DefaultOrganization_20250918164257,1,CodeReviewModification,Programmer,Code Reviewer,2025-18-09 16:54:11,4,735,11,8,2,21,8945,10238,1984,19183,0.113561
MonopolyGo_DefaultOrganization_20250918164257,2,CodeReviewModification,Programmer,Code Reviewer,2025-18-09 17:00:23,4,744,11,8,2,21,9242,9904,1536,19146,0.110593
MonopolyGo_DefaultOrganization_20250918164257,3,CodeReviewModification,Programmer,Code Reviewer,2025-18-09 17:07:57,4,813,13,8,2,23,9418,13157,4096,22575,0.143342
MonopolyGo_DefaultOrganization_20250918164257,4,EnvironmentDoc,Programmer,Chief Technology Officer,2025-18-09 17:08:22,4,0,13,8,2,23,9487,973,896,10460,0.021589
MonopolyGo_DefaultOrganization_20250918164257,5,Reflection,Chief Executive Officer,Counselor,2025-18-09 17:08:39,4,813,13,8,2,23,9848,653,576,10501,0.01884
Pong_DefaultOrganization_20250914182514,0,Coding,Programmer,Chief Technology Officer,2025-14-09 18:27:35,4,486,3,4,3,10,671,7669,2496,8340,0.077529
Pong_DefaultOrganization_20250914182514,1,CodeReviewModification,Programmer,Code Reviewer,2025-14-09 18:30:50,4,483,0,3,1,4,5563,5896,1280,11459,0.065914
Pong_DefaultOrganization_20250914182514,2,CodeReviewModification,Programmer,Code Reviewer,2025-14-09 18:34:05,4,483,3,4,3,10,5364,6087,1472,11451,0.067575
Pong_DefaultOrganization_20250914182514,3,CodeReviewModification,Programmer,Code Reviewer,2025-14-09 18:37:05,4,483,0,3,1,4,5314,5256,640,10570,0.059203
Pong_DefaultOrganization_20250914182514,4,TestModification,Programmer,Software Test Engineer,2025-14-09 18:37:59,4,491,3,4,3,10,5139,4230,1856,9369,0.048724
ReversiOthello_DefaultOrganization_20250917002342,0,Coding,Programmer,Chief Technology Officer,2025-17-09 00:25:10,1,390,0,0,0,0,693,7661,2624,8354,0.077476
ReversiOthello_DefaultOrganization_20250917002342,1,CodeReviewModification,Programmer,Code Reviewer,2025-17-09 00:27:25,1,395,0,0,0,0,5233,5748,1344,10981,0.064021
ReversiOthello_DefaultOrganization_20250917002342,2,CodeReviewModification,Programmer,Code Reviewer,2025-17-09 00:29:41,1,397,0,0,0,0,5137,5987,1600,11124,0.066291
ReversiOthello_DefaultOrganization_20250917002342,3,CodeReviewModification,Programmer,Code Reviewer,2025-17-09 00:32:16,1,397,0,0,0,0,5201,6368,1984,11569,0.070181
ReversiOthello_DefaultOrganization_20250917002342,4,TestModification,Programmer,Software Test Engineer,2025-17-09 00:33:17,2,397,4,1,1,6,4918,3712,1344,8630,0.043268
SnakeGame_DefaultOrganization_20250910123142,0,Coding,Programmer,Chief Technology Officer,2025-10-09 12:35:18,6,452,4,6,3,13,687,6563,2176,7250,0.066489
SnakeGame_DefaultOrganization_20250910123142,1,CodeReviewModification,Programmer,Code Reviewer,2025-10-09 12:40:42,6,458,5,6,3,14,4726,5173,1216,9899,0.057638
SnakeGame_DefaultOrganization_20250910123142,2,CodeReviewModification,Programmer,Code Reviewer,2025-10-09 12:45:21,6,466,5,6,3,14,4820,5189,1152,10009,0.057915
SnakeGame_DefaultOrganization_20250910123142,3,CodeReviewModification,Programmer,Code Reviewer,2025-10-09 12:50:06,6,497,6,6,4,16,4571,7212,2688,11783,0.077834
SnakeGame_DefaultOrganization_20250910123142,4,EnvironmentDoc,Programmer,Chief Technology Officer,2025-10-09 12:51:33,6,0,6,6,4,16,4988,599,576,5587,0.012225
SnakeGame_DefaultOrganization_20250910123142,5,Reflection,Chief Executive Officer,Counselor,2025-10-09 12:51:56,6,497,6,6,4,16,5306,663,640,5969,0.013262
StrandsGame_DefaultOrganization_20250918115617,0,Coding,Programmer,Chief Technology Officer,2025-18-09 11:59:44,2,483,3,7,3,13,655,12456,3840,13111,0.125379
StrandsGame_DefaultOrganization_20250918115617,1,CodeReviewModification,Programmer,Code Reviewer,2025-18-09 12:04:57,2,491,3,7,3,13,9311,10573,1984,19884,0.117369
StrandsGame_DefaultOrganization_20250918115617,2,CodeReviewModification,Programmer,Code Reviewer,2025-18-09 12:11:18,2,491,3,7,3,13,9448,10920,2240,20368,0.12101
StrandsGame_DefaultOrganization_20250918115617,3,CodeReviewModification,Programmer,Code Reviewer,2025-18-09 12:18:29,2,490,3,7,3,13,9415,12089,3456,21504,0.132659
StrandsGame_DefaultOrganization_20250918115617,4,EnvironmentDoc,Programmer,Chief Technology Officer,2025-18-09 12:19:15,2,0,3,7,3,13,9058,1317,1280,10375,0.024493
StrandsGame_DefaultOrganization_20250918115617,5,Reflection,Chief Executive Officer,Counselor,2025-18-09 12:19:34,2,490,3,7,3,13,9374,741,704,10115,0.019127
StrandsNYT_DefaultOrganization_20250915172200,0,Coding,Programmer,Chief Technology Officer,2025-15-09 17:26:04,1,472,0,0,0,0,849,17789,11264,18638,0.178951
StrandsNYT_DefaultOrganization_20250915172200,1,CodeReviewModification,Programmer,Code Reviewer,2025-15-09 17:29:00,5,474,9,2,1,12,7068,7574,1536,14642,0.084575
StrandsNYT_DefaultOrganization_20250915172200,2,CodeReviewModification,Programmer,Code Reviewer,2025-15-09 17:31:43,6,565,9,5,2,16,7332,11073,3136,18405,0.119895
StrandsNYT_DefaultOrganization_20250915172200,3,CodeReviewModification,Programmer,Code Reviewer,2025-15-09 17:37:23,6,565,9,8,4,21,11084,12875,2624,23959,0.142605
StrandsNYT_DefaultOrganization_20250915172200,4,TestModification,Programmer,Software Test Engineer,2025-15-09 17:38:18,6,571,9,8,7,24,10844,1849,832,12693,0.032045
StrandsNYT_DefaultOrganization_20250915172200,5,TestModification,Programmer,Software Test Engineer,2025-15-09 17:40:39,6,580,9,8,7,24,10993,4875,1344,15868,0.062491
StrandsNYT_DefaultOrganization_20250915172200,6,Reflection,Chief Executive Officer,Counselor,2025-15-09 17:41:20,6,580,9,8,7,24,11379,794,768,12173,0.022164
Sudoku_DefaultOrganization_20250912104519,0,Coding,Programmer,Chief Technology Officer,2025-12-09 10:48:51,2,362,7,4,2,13,667,11030,3008,11697,0.111134
Sudoku_DefaultOrganization_20250912104519,1,CodeReviewModification,Programmer,Code Reviewer,2025-12-09 10:52:53,3,362,7,5,4,16,8242,9967,2560,18209,0.109973
Sudoku_DefaultOrganization_20250912104519,2,CodeReviewModification,Programmer,Code Reviewer,2025-12-09 10:57:11,3,362,7,5,4,16,8283,10322,2880,18605,0.113574
Sudoku_DefaultOrganization_20250912104519,3,CodeReviewModification,Programmer,Code Reviewer,2025-12-09 11:01:12,3,362,7,5,4,16,8302,10386,2944,18688,0.114237
Sudoku_DefaultOrganization_20250912104519,4,EnvironmentDoc,Programmer,Chief Technology Officer,2025-12-09 11:01:42,3,0,7,5,4,16,7884,728,704,8612,0.017135
Sudoku_DefaultOrganization_20250912104519,5,Reflection,Chief Executive Officer,Counselor,2025-12-09 11:02:08,3,362,7,5,4,16,8193,984,960,9177,0.020081
Tetris_DefaultOrganization_20250916220733,0,Coding,Programmer,Chief Technology Officer,2025-16-09 22:33:37,0,0,0,0,0,0,691,11790,2176,12481,0.118764
Tetris_DefaultOrganization_20250916220733,1,CodeReviewModification,Programmer,Code Reviewer,2025-16-09 22:38:53,0,0,0,0,0,0,9820,10927,1792,20747,0.121545
Tetris_DefaultOrganization_20250916220733,2,CodeReviewModification,Programmer,Code Reviewer,2025-16-09 22:41:29,0,0,0,0,0,0,10066,10543,1408,20609,0.118013
Tetris_DefaultOrganization_20250916220733,3,CodeReviewModification,Programmer,Code Reviewer,2025-16-09 22:46:13,0,0,0,0,0,0,10300,10405,1280,20705,0.116925
TextBasedSpaceInvaders_DefaultOrganization_20250923235402,0,Coding,Programmer,Chief Technology Officer,2025-23-09 23:56:33,4,389,6,4,3,13,663,7882,3136,8545,0.079649
TextBasedSpaceInvaders_DefaultOrganization_20250923235402,1,CodeReviewModification,Programmer,Code Reviewer,2025-23-09 23:59:05,4,389,6,4,3,13,4685,5043,1024,9728,0.056286
TextBasedSpaceInvaders_DefaultOrganization_20250923235402,2,CodeReviewModification,Programmer,Code Reviewer,2025-24-09 00:01:44,4,388,6,4,3,13,4712,4706,704,9418,0.05295
TextBasedSpaceInvaders_DefaultOrganization_20250923235402,3,CodeReviewModification,Programmer,Code Reviewer,2025-24-09 00:04:10,4,392,5,5,3,13,4915,7050,3008,11965,0.076644
TextBasedSpaceInvaders_DefaultOrganization_20250923235402,4,TestModification,Programmer,Software Test Engineer,2025-24-09 00:04:50,4,403,5,5,3,13,4562,1837,1664,6399,0.024073
TextBasedSpaceInvaders_DefaultOrganization_20250923235402,5,EnvironmentDoc,Programmer,Chief Technology Officer,2025-24-09 00:05:04,4,0,5,5,3,13,4566,600,576,5166,0.011708
